################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.6090125834687692E+00   1.5266485617120997E+01   1.0314329699931314E+01   1.7155587419762457E+00
         1          2   0.0000000000000000E+00   3.9847499097656329E+00   2.2917189669686970E+00   9.0243882601368863E-01
         1          3   0.0000000000000000E+00   6.4464652708638210E+00   2.8168125184577693E+00   9.8659213564455117E-01
         1          4   3.1145345273209499E+00   1.1029265362539757E+01   7.3673239171857228E+00   1.2274596744592510E+00
         1          5   0.0000000000000000E+00   3.1174028494373189E+00   1.6678520151633494E+00   6.7041507030668401E-01
         1          6   0.0000000000000000E+00   4.7163571279734056E+00   1.9335931652234730E+00   6.9896108937227086E-01
         1          7   1.4637338734289671E+00   6.1581559485171180E+00   3.9611143754034184E+00   6.4110023912840941E-01
         1          8   0.0000000000000000E+00   1.9058384342447408E+00   8.8687182203729709E-01   3.7059635905712335E-01
         1          9   0.0000000000000000E+00   2.4996369049198859E+00   8.9383007350574284E-01   3.5243402263251072E-01
         1         10   5.6780725444111912E-01   3.3174694814790882E+00   1.9936744623049854E+00   2.8775058976073459E-01
         1         11   0.0000000000000000E+00   1.0413287643277269E+00   3.8774521521834521E-01   1.7104051441918566E-01
         1         12   0.0000000000000000E+00   1.0653563131016595E+00   3.1129087943320782E-01   1.4250031173821448E-01
         1         13   5.1698532312349188E-01   3.7214913220197650E+00   1.9978681183086064E+00   3.0822762361351397E-01
         1         14   0.0000000000000000E+00   3.6991544259158813E+00   1.8173000429674095E+00   7.5545357794655377E-01
         1         15   0.0000000000000000E+00   5.6188895536546681E+00   2.4752812393760788E+00   8.9727321839188923E-01
         1         16   1.4030173466975468E-01   2.4727300067371525E+00   1.2387638139526775E+00   1.6962535588840696E-01
         1         17   0.0000000000000000E+00   3.6307416911790398E+00   1.5911072778130415E+00   6.7078633102965490E-01
         1         18   0.0000000000000000E+00   5.0235176733684481E+00   2.2421531409599766E+00   8.4658014029420470E-01
         1         19   1.2928429022917748E-02   1.8804863564169869E+00   1.0188968352576877E+00   9.4524515026191150E-02
         1         20   0.0000000000000000E+00   1.1481083637331919E+00   5.3827349196078711E-01   2.2340631284435938E-01
         1         21   0.0000000000000000E+00   7.2232098112170573E-01   1.8648020317237318E-01   8.4631611896901882E-02
         1         22   1.1167953012191422E-05   1.7203278385971319E+00   9.6213271752006535E-01   6.4040585959442398E-02
         1         23   0.0000000000000000E+00   8.6869302793316483E-01   3.2931993982448193E-01   1.6539553266270099E-01
         1         24   0.0000000000000000E+00   4.6955624843859406E-01   1.1280704917973737E-01   6.1865575065293922E-02
         2          1   3.0977989862095767E-01   1.4793882662136850E+01   1.9278767805703387E+00   1.1433090230281182E+00
         2          2   0.0000000000000000E+00   3.7529207037923156E+00   1.8341403714880093E+00   9.3296127005990936E-01
         2          3   0.0000000000000000E+00   6.3598944869831984E+00   3.2358260400843948E+00   6.2311376667347051E-01
         2          4   1.5909623497384073E-01   1.0940544605333301E+01   1.3770446677671635E+00   8.6089788606531048E-01
         2          5   0.0000000000000000E+00   2.9158462182832983E+00   1.3252321439444128E+00   7.9169501235430251E-01
         2          6   0.0000000000000000E+00   4.7635984439327430E+00   2.3507902422285394E+00   4.9441997048278935E-01
         2          7   3.2511664032030436E-02   6.3097468217369777E+00   7.4038164880210344E-01   5.4289262724717535E-01
         2          8   0.0000000000000000E+00   1.8491130663853557E+00   7.5221713977907123E-01   5.7824680663008188E-01
         2          9   0.0000000000000000E+00   2.8797437522812181E+00   1.3560301935617041E+00   3.9404538848138920E-01
         2         10   2.7853513206069188E-03   3.5859573283044281E+00   3.7264260652046455E-01   3.7728470948687942E-01
         2         11   0.0000000000000000E+00   1.1375298636713222E+00   4.1418041708129771E-01   3.8057033154917780E-01
         2         12   0.0000000000000000E+00   1.7052574657950144E+00   7.8148067435331026E-01   3.3340162756367153E-01
         2         13   0.0000000000000000E+00   4.1047689940411547E-01   1.1485654017706344E-01   1.1786192909357109E-01
         2         14   0.0000000000000000E+00   5.8905848926648208E-01   2.8218299244001666E-01   1.6152463342790468E-01
         2         15   2.0293566064733714E-04   4.4666674479893347E+00   4.1211016845550796E-01   4.6111294601905478E-01
         2         16   1.1598672449321177E-07   3.4622114740209864E+00   2.4849672626957692E-01   4.3316885689137985E-01
         2         17   0.0000000000000000E+00   2.9823590028968607E+00   1.2136425020358885E+00   5.4633701255178457E-01
         2         18   0.0000000000000000E+00   2.3832684137847067E+00   8.4313188749287693E-01   7.8932753762407015E-01
         2         19   0.0000000000000000E+00   2.6250595758547846E+00   1.0253709529929211E+00   5.5604686672318293E-01
