################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6427138582261119E+01 a         1     0     1     1     1
 -1.7904762864123349E+01 a         2     0     1     1     2
 -2.6693622708544398E+00 a         3     0     1     1     3
 -4.6656377017730854E+01 a         4     0     1     1     4
 -7.3403423018473388E+00 a         5     0     1     1     5
  9.6915874850770170E+00 a         6     0     1     1     6
 -5.6692778049754633E+00 a         7     0     1     1     7
 -8.7353937799612513E+00 a         8     0     1     1     8
  1.2414365810277232E+01 a         9     0     1     1     9
 -1.5919834289778677E+01 a        10     0     1     1    10
  5.5098373042457860E+00 a        11     0     1     1    11
  5.8938061862055058E+01 a        12     0     1     1    12
 -1.8764526027836066E+00 a        13     0     1     1    13
  2.4715076217393243E+01 a        14     0     1     1    14
 -4.8055324308487577E+01 a        15     0     1     1    15
  2.1709788104117525E+01 a        16     0     1     1    16
 -7.1665260510906394E+00 a        17     0     1     1    17
 -2.9765059608820660E+01 a        18     0     1     1    18
 -7.8139175745903691E+00 a        19     0     1     1    19
 -1.6870322510567024E+00 a        20     0     1     1    20
  4.3492613979330985E-01 a        21     0     1     1    21
  6.6957564370835714E+00 a        22     0     1     1    22
  2.1074684092837628E+00 a        23     0     1     1    23
  1.4171160061915353E+01 a        24     0     1     1    24
  8.7932957195878299E+00 a        25     0     1     1    25
  4.3170666868005458E+00 a        26     0     2     1     1
  1.7381280474767120E+01 a        27     0     2     1     2
  3.5593986798544520E+01 a        28     0     2     1     3
 -9.5564479523369652E+00 a        29     0     2     1     4
 -6.5485808375213650E-01 a        30     0     2     1     5
 -8.4555297988089411E+00 a        31     0     2     1     6
 -1.3354927405166901E+00 a        32     0     2     1     7
 -2.0452758880215807E+01 a        33     0     2     1     8
  1.8054239446363916E+01 a        34     0     2     1     9
  2.6484451229566361E+01 a        35     0     2     1    10
 -8.3234486322402468E+00 a        36     0     2     1    11
